title,inbound_links,pageviews_3mo
"When a man argues against two beautiful ladies like this, they are going to have the last word",0,60634
Western University of Health Sciences,211,3452
Western African Ebola epidemic,277,36989
White blood cell differential,0,3160
William F. Wells,0,370
Robert White (Virginia physician),12,196
Albertine Winner,22,169
Wilson's disease,0,33505
Women's health,0,4718
Wikipedia and the COVID-19 pandemic,472,629
Marie Wittman,19,2093
John Wieting,6,88
Erik Adolf von Willebrand,19,1493
Women's health in India,268,578
Xinxiu bencao,83,308
XXXYY syndrome,111,8237
Zyklon B,127,90461
"1,1,1,2-Tetrafluoroethane",70,18916
1-800 Contacts,69,3163
XYYY syndrome,112,4766
1p36 deletion syndrome,122,6269
11-Deoxycortisol,500,697
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,0,215
5-HT2C receptor agonist,0,779
3C syndrome,0,1252
5α-Reductase 2 deficiency,0,12968
2-Hydroxyestradiol,90,287
3-Methylcrotonyl-CoA carboxylase deficiency,0,441
16p11.2 deletion syndrome,0,1683
1510 influenza pandemic,249,722
1675–1676 Malta plague epidemic,161,383
18p-,0,2885
1603 London plague,168,767
1592–1593 Malta plague epidemic,164,254
1813–1814 Malta plague epidemic,168,687
911 (emergency telephone number),0,36242
211th (Wessex) Field Hospital,9,131
1924 Los Angeles pneumonic plague outbreak,157,1418
1894 Hong Kong plague,166,2920
1937 Croydon typhoid outbreak,0,341
1846–1860 cholera pandemic,289,4775
2002–2004 SARS outbreak,498,25502
1992–1993 Jack in the Box E. coli outbreak,0,13238
1929–1930 psittacosis pandemic,11,811
1916 New York City polio epidemic,0,874
2006 North American E. coli outbreak in spinach,0,1492
1881–1896 cholera pandemic,211,2208
1970 Minamata disease outbreak in Ontario,2,281
1963 Wrocław smallpox epidemic,4,474
2007 vole plague in Castile and León,0,300
2008 Chinese milk scandal,0,32750
2008 Irish pork crisis,209,1207
2002–2004 SARS outbreak among healthcare workers,25,304
2008–2009 Chile listeriosis outbreak,36,166
2009 swine flu pandemic by country,28,883
2008 United States salmonellosis outbreak,202,987
2009 swine flu pandemic in Europe,62,410
2009 swine flu pandemic in Australia,55,398
2009 swine flu pandemic in Costa Rica,49,59
2009 swine flu pandemic in Brazil,50,158
